qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,q2
8965,1063,849,3,12,2021,12,13,spa,118056.0
8964,1063,844,6,11,2021,12,13,spa,117721.0
8973,1063,853,210,20,2021,12,13,spa,0.0
8962,1063,839,214,9,2021,12,13,spa,117354.0
8961,1063,822,131,8,2021,12,13,spa,116295.0
8960,1063,815,9,7,2021,12,13,spa,116886.0
8959,1063,842,213,6,2021,12,13,spa,116440.0
8957,1063,817,1,4,2021,12,13,spa,117127.0
8956,1063,1,131,3,2021,12,13,spa,116229.0
8955,1063,847,3,2,2021,12,13,spa,116950.0
8954,1063,830,9,1,2021,12,13,spa,116559.0
8972,1063,8,51,19,2021,12,13,spa,0.0
8975,1064,1,131,2,2021,13,39,zandvoort,69726.0
8974,1064,830,9,1,2021,13,39,zandvoort,69071.0
8993,1064,853,210,20,2021,13,39,zandvoort,0.0
8990,1064,20,117,17,2021,13,39,zandvoort,0.0
8989,1064,815,9,16,2021,13,39,zandvoort,0.0
8988,1064,852,213,15,2021,13,39,zandvoort,71314.0
8987,1064,849,3,14,2021,13,39,zandvoort,71161.0
8986,1064,846,1,13,2021,13,39,zandvoort,70406.0
8985,1064,840,117,12,2021,13,39,zandvoort,70367.0
8984,1064,847,3,11,2021,13,39,zandvoort,70332.0
8983,1064,817,1,10,2021,13,39,zandvoort,69865.0
8982,1064,4,214,9,2021,13,39,zandvoort,70020.0
8981,1064,839,214,8,2021,13,39,zandvoort,69919.0
8980,1064,841,51,7,2021,13,39,zandvoort,70033.0
8979,1064,832,6,6,2021,13,39,zandvoort,69870.0
8978,1064,844,6,5,2021,13,39,zandvoort,69437.0
8977,1064,842,213,4,2021,13,39,zandvoort,69541.0
8976,1064,822,131,3,2021,13,39,zandvoort,69769.0
8991,1064,9,51,18,2021,13,39,zandvoort,0.0
8992,1064,854,210,19,2021,13,39,zandvoort,0.0
8996,1065,830,9,3,2021,14,14,monza,80229.0
9013,1065,853,210,20,2021,14,14,monza,0.0
8997,1065,846,1,4,2021,14,14,monza,80059.0
8998,1065,817,1,5,2021,14,14,monza,80435.0
8999,1065,842,213,6,2021,14,14,monza,80556.0
9000,1065,832,6,7,2021,14,14,monza,80750.0
9001,1065,844,6,8,2021,14,14,monza,80767.0
9002,1065,815,9,9,2021,14,14,monza,80882.0
9003,1065,841,51,10,2021,14,14,monza,80726.0
8995,1065,1,131,2,2021,14,14,monza,79936.0
8994,1065,822,131,1,2021,14,14,monza,80032.0
9006,1065,4,214,13,2021,14,14,monza,81069.0
9007,1065,839,214,14,2021,14,14,monza,81103.0
9008,1065,847,3,15,2021,14,14,monza,81392.0
9009,1065,849,3,16,2021,14,14,monza,0.0
9010,1065,852,213,17,2021,14,14,monza,0.0
9011,1065,854,210,18,2021,14,14,monza,0.0
9012,1065,9,51,19,2021,14,14,monza,0.0
9005,1065,840,117,12,2021,14,14,monza,81020.0
