qualifyid,raceid,driverid,constructorid,position,year,round,circuitid,circuitref,car_condition,driver_condition,previous_year_position,mean_lap_time,driver_time_better_mean,car_time_better_mean,q1
8826.0,1056,817.0,1.0,11.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-10.263157894733013,-223.263157894733,71747.0
8820.0,1056,842.0,213.0,6.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-197.263157894733,70.73684210526699,71560.0
8830.0,1056,852.0,213.0,16.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,338.736842105267,70.73684210526699,72096.0
8824.0,1056,841.0,51.0,9.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-99.26315789473301,21.236842105266987,71658.0
8828.0,1056,8.0,51.0,12.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,141.736842105267,21.236842105266987,71899.0
8825.0,1056,839.0,214.0,10.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-17.263157894733013,215.236842105267,71740.0
8831.0,1056,4.0,214.0,17.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,447.736842105267,215.236842105267,72205.0
8827.0,1056,840.0,117.0,13.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,221.736842105267,271.236842105267,71979.0
8822.0,1056,20.0,117.0,15.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,320.736842105267,271.236842105267,72078.0
8829.0,1056,847.0,3.0,14.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,258.736842105267,433.736842105267,72016.0
8832.0,1056,849.0,3.0,18.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,608.736842105267,433.736842105267,72366.0
8833.0,1056,853.0,210.0,19.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,1200.736842105267,1200.736842105267,72958.0
8853.0,1057,841.0,51.0,1.0,2021.0,6.0,79.0,miami,0.0,0.0,20.0,92330.55,-92330.55,-40869.05,0.0
8847.0,1057,8.0,51.0,16.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,10592.449999999997,-40869.05,102923.0
8852.0,1057,840.0,117.0,2.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,-92330.55,-41100.55,0.0
8844.0,1057,20.0,117.0,12.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,10129.449999999997,-41100.55,102460.0
8835.0,1057,1.0,131.0,3.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,9214.449999999997,9792.449999999997,101545.0
8843.0,1057,822.0,131.0,14.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,10370.449999999997,9792.449999999997,102701.0
8836.0,1057,830.0,9.0,4.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,9429.449999999997,9533.449999999997,101760.0
8840.0,1057,815.0,9.0,5.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,9637.449999999997,9533.449999999997,101968.0
8838.0,1057,832.0,6.0,6.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,9790.449999999997,9850.449999999997,102121.0
8834.0,1057,844.0,6.0,8.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,9910.449999999997,9850.449999999997,102241.0
8839.0,1057,846.0,1.0,7.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,9836.449999999997,9904.949999999997,102167.0
8846.0,1057,817.0,1.0,10.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,9973.449999999997,9904.949999999997,102304.0
8837.0,1057,842.0,213.0,9.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,9957.449999999997,10073.949999999997,102288.0
8841.0,1057,852.0,213.0,13.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,10190.449999999997,10073.949999999997,102521.0
8845.0,1057,839.0,214.0,11.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,10095.449999999997,10349.449999999997,102426.0
8842.0,1057,4.0,214.0,17.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,10603.449999999997,10349.449999999997,102934.0
8848.0,1057,847.0,3.0,15.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,10397.449999999997,10597.449999999997,102728.0
8849.0,1057,849.0,3.0,18.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,10797.449999999997,10597.449999999997,103128.0
8850.0,1057,854.0,210.0,19.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,11827.449999999997,11867.449999999997,104158.0
8851.0,1057,853.0,210.0,20.0,2021.0,6.0,21.0,imola,0.0,0.0,20.0,92330.55,11907.449999999997,11867.449999999997,104238.0
8874.0,1058,830.0,9.0,1.0,2021.0,8.0,21.0,imola,0.0,0.0,20.0,65003.05,-514.0499999999956,-439.54999999999563,64489.00000000001
8878.0,1058,815.0,9.0,5.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-365.04999999999563,-439.54999999999563,64638.00000000001
8875.0,1058,822.0,131.0,2.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-466.04999999999563,-398.5499999999993,64537.00000000001
8876.0,1058,1.0,131.0,6.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-331.0500000000029,-398.5499999999993,64672.0
8877.0,1058,846.0,1.0,3.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-419.0500000000029,-140.05000000000655,64584.0
8886.0,1058,817.0,1.0,15.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,138.9499999999898,-140.05000000000655,65141.99999999999
